"kind","url","status","title","note","finalUrl"
"page","http://185.23.72.228/ar/tr/iletisim","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/iletisim"
"page","http://185.23.72.228/ar/tr/kayit","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/kayit"
"page","http://185.23.72.228/ar/tr/kurban/2026-kurban","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/kurban/2026-kurban"
"page","http://185.23.72.228/ar/tr/kvkk","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/kvkk"
"page","http://185.23.72.228/ar/tr/medya","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/medya"
"page","http://185.23.72.228/ar/tr/misyonumuz","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/misyonumuz"
"page","http://185.23.72.228/ar/tr/projeler","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/projeler"
"page","http://185.23.72.228/ar/tr/sepet","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/sepet"
"page","http://185.23.72.228/ar/tr/vizyonumuz","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/vizyonumuz"
"page","http://185.23.72.228/ar/tr/zekat-hesaplayici","404","","HTTP hatasÄ±","http://185.23.72.228/ar/tr/zekat-hesaplayici"
"page","http://185.23.72.228/ar/vizyonumuz","404","","HTTP hatasÄ±","http://185.23.72.228/ar/vizyonumuz"
"page","http://185.23.72.228/ar/zekat-hesaplayici","200","Zekat Hesaplayıcı - Dernek","","http://185.23.72.228/ar/zekat-hesaplayici"
"asset","http://185.23.72.228/build/assets/app-BUPCRDfa.js","200","","application/javascript","http://185.23.72.228/build/assets/app-BUPCRDfa.js"
"asset","http://185.23.72.228/build/assets/app-BUPCRDfa.js","200","","application/javascript","http://185.23.72.228/build/assets/app-BUPCRDfa.js"
"asset","http://185.23.72.228/build/assets/app-Dw6snq-D.css","200","","text/css","http://185.23.72.228/build/assets/app-Dw6snq-D.css"
"asset","http://185.23.72.228/build/assets/app-Dw6snq-D.css","200","","text/css","http://185.23.72.228/build/assets/app-Dw6snq-D.css"
"asset","http://185.23.72.228/build/assets/app-twQ0XsZM.css","200","","text/css","http://185.23.72.228/build/assets/app-twQ0XsZM.css"
"asset","http://185.23.72.228/build/assets/app-twQ0XsZM.css","200","","text/css","http://185.23.72.228/build/assets/app-twQ0XsZM.css"
"page","http://185.23.72.228/de","200","Dernek - Ana Sayfa","","http://185.23.72.228/de"
"page","http://185.23.72.228/de/ar","404","","HTTP hatasÄ±","http://185.23.72.228/de/ar"
"page","http://185.23.72.228/de/bagis","200","Bağış Yap - Dernek","","http://185.23.72.228/de/bagis"
"page","http://185.23.72.228/de/bagis-kategorileri","200","Bağış Kategorileri - Dernek","","http://185.23.72.228/de/bagis-kategorileri"
"page","http://185.23.72.228/de/bagis-kategorileri/egitim","404","","HTTP hatasÄ±","http://185.23.72.228/de/bagis-kategorileri/egitim"
"page","http://185.23.72.228/de/bagis-kategorileri/genel-bagis","404","","HTTP hatasÄ±","http://185.23.72.228/de/bagis-kategorileri/genel-bagis"
"page","http://185.23.72.228/de/bagis-kategorileri/insani-yardim","404","","HTTP hatasÄ±","http://185.23.72.228/de/bagis-kategorileri/insani-yardim"
"page","http://185.23.72.228/de/bagis-kategorileri/saglik","404","","HTTP hatasÄ±","http://185.23.72.228/de/bagis-kategorileri/saglik"
"page","http://185.23.72.228/de/canli-yayin","200","Canli Yayinlar - Dernek","","http://185.23.72.228/de/canli-yayin"
"page","http://185.23.72.228/de/cerez-politikasi","200","Çerez Politikası - Dernek","","http://185.23.72.228/de/cerez-politikasi"
"page","http://185.23.72.228/de/en","404","","HTTP hatasÄ±","http://185.23.72.228/de/en"
"page","http://185.23.72.228/de/etkinlikler","200","Etkinlikler - Dernek","","http://185.23.72.228/de/etkinlikler"
"page","http://185.23.72.228/de/faaliyet-alanlari","404","","HTTP hatasÄ±","http://185.23.72.228/de/faaliyet-alanlari"
"page","http://185.23.72.228/de/fitre-hesaplayici","200","Fitre Hesaplayıcı - Dernek","","http://185.23.72.228/de/fitre-hesaplayici"
"page","http://185.23.72.228/de/giris","200","Giriş Yap / Üye Ol - Dernek","","http://185.23.72.228/de/giris"
"page","http://185.23.72.228/de/gizlilik-politikasi","200","Gizlilik Politikası - Dernek","","http://185.23.72.228/de/gizlilik-politikasi"
"page","http://185.23.72.228/de/gonullu","200","Gönüllü Ol - Dernek","","http://185.23.72.228/de/gonullu"
"page","http://185.23.72.228/de/haberler","200","Haberler ve Duyurular - Dernek","","http://185.23.72.228/de/haberler"
"page","http://185.23.72.228/de/haberler/egitim-bursu-guncelleme","404","","HTTP hatasÄ±","http://185.23.72.228/de/haberler/egitim-bursu-guncelleme"
"page","http://185.23.72.228/de/haberler/kurban-bayrami-kampanyasi","404","","HTTP hatasÄ±","http://185.23.72.228/de/haberler/kurban-bayrami-kampanyasi"
"page","http://185.23.72.228/de/haberler/ramazan-kampanyasi-duyurusu","404","","HTTP hatasÄ±","http://185.23.72.228/de/haberler/ramazan-kampanyasi-duyurusu"
